Result,FSP,FSW,SSP,SSW,ACE,DBF,WNR,UFE,NPA,NPW,ST1,Opp.FSW,Opp.SSP,Opp.SSW,Opp.ACE,Opp.DBF,Opp.WNR,Opp.UFE,Opp.NPA,Opp.NPW,Gender,Surface,Big Points,CLUTCH%
0,65,57,35,30,8,0,8,0,0,0,7,60,45,31,20,3,20,3,0,0,Men,Hard,20,0.5
1,63,76,37,28,21,9,21,9,0,0,2,69,43,43,16,10,16,10,0,0,Men,Hard,20,0.349999994
0,57,69,43,43,16,10,16,10,0,0,6,76,37,28,21,9,21,9,0,0,Men,Hard,20,0.649999976
0,66,55,34,18,25,1,48,27,50,24,6,68,17,12,8,2,41,7,35,24,Men,Hard,6,0.333333343
1,83,68,17,12,8,2,41,7,35,24,7,55,34,18,25,1,48,27,50,24,Men,Hard,6,0.666666687
0,73,31,27,6,2,6,2,6,0,0,4,31,47,19,4,3,4,3,0,0,Men,Hard,14,0.428571433
1,53,31,47,19,4,3,4,3,0,0,6,31,27,6,2,6,2,6,0,0,Men,Hard,14,0.571428597
0,60,46,40,29,3,5,33,36,35,23,5,63,38,20,19,13,58,66,44,29,Men,Hard,24,0.375
1,62,63,38,20,19,13,58,66,44,29,7,46,40,29,3,5,33,36,35,23,Men,Hard,24,0.625
1,66,39,34,19,9,0,35,17,23,13,6,37,39,17,8,2,22,37,16,11,Men,Hard,16,0.375
0,61,37,39,17,8,2,22,37,16,11,3,39,34,19,9,0,35,17,23,13,Men,Hard,16,0.625
0,52,36,48,19,13,3,34,38,34,19,4,40,42,19,11,5,30,17,22,18,Men,Hard,18,0.722222209
1,58,40,42,19,11,5,30,17,22,18,6,36,48,19,13,3,34,38,34,19,Men,Hard,18,0.277777791
0,51,37,49,29,5,11,51,54,32,22,7,43,37,22,10,6,41,27,15,6,Men,Hard,25,0.479999989
1,63,43,37,22,10,6,41,27,15,6,6,37,49,29,5,11,51,54,32,22,Men,Hard,25,0.519999981
1,58,49,42,24,5,4,5,4,0,0,6,50,45,21,14,8,14,8,0,0,Men,Hard,23,0.521739125
0,55,50,45,21,14,8,14,8,0,0,7,49,42,24,5,4,5,4,0,0,Men,Hard,23,0.478260875
1,61,59,39,24,20,6,44,40,11,7,5,44,42,25,7,6,20,48,17,10,Men,Hard,19,0.473684222
0,58,44,42,25,7,6,20,48,17,10,7,59,39,24,20,6,44,40,11,7,Men,Hard,19,0.526315808
0,63,109,37,36,41,4,111,81,44,29,7,114,44,57,32,18,75,53,55,37,Men,Hard,35,0.22857143
1,56,114,44,57,32,18,75,53,55,37,6,109,37,36,41,4,111,81,44,29,Men,Hard,35,0.771428585
1,58,57,42,30,22,4,63,53,31,21,4,64,39,27,13,4,41,34,29,20,Men,Hard,11,0.545454562
0,61,64,39,27,13,4,41,34,29,20,6,57,42,30,22,4,63,53,31,21,Men,Hard,11,0.454545468
1,53,39,47,24,8,6,33,37,22,18,4,41,40,16,4,9,21,36,19,8,Men,Hard,15,0.533333361
0,60,41,40,16,4,9,21,36,19,8,6,39,47,24,8,6,33,37,22,18,Men,Hard,15,0.466666669
1,62,37,38,23,15,1,36,25,15,12,7,35,43,20,2,6,28,39,31,20,Men,Hard,15,0.400000006
0,57,35,43,20,2,6,28,39,31,20,5,37,38,23,15,1,36,25,15,12,Men,Hard,15,0.600000024
1,54,25,46,21,9,2,27,10,3,1,6,36,22,6,10,0,23,23,10,5,Men,Hard,8,0.625
0,78,36,22,6,10,0,23,23,10,5,2,25,46,21,9,2,27,10,3,1,Men,Hard,8,0.375
1,68,57,32,13,6,8,6,8,0,0,6,38,37,16,4,1,4,1,0,0,Men,Hard,17,0.70588237
0,63,38,37,16,4,1,4,1,0,0,4,57,32,13,6,8,6,8,0,0,Men,Hard,17,0.294117659
1,69,48,31,17,15,0,15,0,0,0,6,43,40,18,11,4,11,4,0,0,Men,Hard,12,0.583333313
0,60,43,40,18,11,4,11,4,0,0,3,48,31,17,15,0,15,0,0,0,Men,Hard,12,0.416666657
1,46,25,54,21,4,2,22,22,12,11,7,40,46,9,16,11,28,52,10,6,Men,Hard,22,0.454545468
0,54,40,46,9,16,11,28,52,10,6,6,25,54,21,4,2,22,22,12,11,Men,Hard,22,0.545454562
0,52,34,48,28,6,1,6,1,0,0,4,50,35,18,12,2,12,2,0,0,Men,Hard,14,0.357142866
1,65,50,35,18,12,2,12,2,0,0,6,34,48,28,6,1,6,1,0,0,Men,Hard,14,0.642857134
1,63,39,37,19,9,6,9,6,0,0,6,47,28,12,10,5,10,5,0,0,Men,Hard,14,0.5
0,72,47,28,12,10,5,10,5,0,0,4,39,37,19,9,6,9,6,0,0,Men,Hard,14,0.5
1,57,63,43,34,18,9,54,68,11,8,7,67,33,22,11,2,39,73,17,10,Men,Hard,46,0.521739125
0,67,67,33,22,11,2,39,73,17,10,5,63,43,34,18,9,54,68,11,8,Men,Hard,46,0.478260875
1,69,33,31,11,12,2,32,13,5,4,6,28,39,6,6,3,23,33,16,11,Men,Hard,13,0.538461566
0,61,28,39,6,6,3,23,33,16,11,1,33,31,11,12,2,32,13,5,4,Men,Hard,13,0.461538464
0,57,52,43,25,29,1,55,39,18,12,7,62,36,23,16,3,46,29,28,21,Men,Hard,10,0.5
1,64,62,36,23,16,3,46,29,28,21,6,52,43,25,29,1,55,39,18,12,Men,Hard,10,0.5
1,82,37,18,7,1,1,1,1,0,0,6,28,39,10,8,5,8,5,0,0,Men,Hard,20,0.449999988
0,61,28,39,10,8,5,8,5,0,0,2,37,18,7,1,1,1,1,0,0,Men,Hard,20,0.550000012
1,54,60,46,25,34,13,71,52,8,5,6,45,47,31,12,5,38,36,6,6,Men,Hard,15,0.666666687
0,53,45,47,31,12,5,38,36,6,6,3,60,46,25,34,13,71,52,8,5,Men,Hard,15,0.333333343
1,57,54,43,22,24,6,58,25,35,22,7,47,41,20,12,3,36,14,32,15,Men,Hard,16,0.375
0,59,47,41,20,12,3,36,14,32,15,6,54,43,22,24,6,58,25,35,22,Men,Hard,16,0.625
0,58,54,42,28,10,9,10,9,0,0,7,55,43,30,14,4,14,4,0,0,Men,Hard,8,0.5
1,57,55,43,30,14,4,14,4,0,0,6,54,42,28,10,9,10,9,0,0,Men,Hard,8,0.5
0,63,32,37,12,1,3,1,3,0,0,3,33,38,11,9,5,9,5,0,0,Men,Hard,26,0.5
1,62,33,38,11,9,5,9,5,0,0,6,32,37,12,1,3,1,3,0,0,Men,Hard,26,0.5
0,55,44,45,22,8,6,36,59,7,5,6,60,34,23,9,4,24,34,12,10,Men,Hard,12,0.416666657
1,66,60,34,23,9,4,24,34,12,10,7,44,45,22,8,6,36,59,7,5,Men,Hard,12,0.583333313
1,64,56,36,17,21,7,48,29,30,21,7,43,44,25,5,5,22,33,12,8,Men,Hard,26,0.384615391
0,56,43,44,25,5,5,22,33,12,8,6,56,36,17,21,7,48,29,30,21,Men,Hard,26,0.615384638
0,61,69,39,29,14,9,46,63,30,16,3,68,34,25,6,6,44,50,16,11,Men,Hard,24,0.458333343
1,66,68,34,25,6,6,44,50,16,11,6,69,39,29,14,9,46,63,30,16,Men,Hard,24,0.541666687
1,61,53,39,30,7,7,28,57,17,8,6,55,39,22,2,10,41,88,39,23,Men,Hard,18,0.5
0,61,55,39,22,2,10,41,88,39,23,4,53,39,30,7,7,28,57,17,8,Men,Hard,18,0.5
0,67,56,33,18,11,6,38,56,15,13,7,58,27,16,0,5,34,33,40,29,Men,Hard,11,0.545454562
1,73,58,27,16,0,5,34,33,40,29,6,56,33,18,11,6,38,56,15,13,Men,Hard,11,0.454545468
1,59,72,41,40,17,5,67,59,11,8,7,76,49,38,23,5,54,61,40,23,Men,Hard,31,0.419354826
0,51,76,49,38,23,5,54,61,40,23,6,72,41,40,17,5,67,59,11,8,Men,Hard,31,0.580645144
0,62,42,38,17,2,1,19,23,20,13,4,43,36,18,9,5,43,27,22,18,Men,Hard,4,0.25
1,64,43,36,18,9,5,43,27,22,18,6,42,38,17,2,1,19,23,20,13,Men,Hard,4,0.75
0,49,51,51,36,6,8,6,8,0,0,6,54,50,43,16,12,16,12,0,0,Men,Hard,22,0.363636374
1,50,54,50,43,16,12,16,12,0,0,7,51,51,36,6,8,6,8,0,0,Men,Hard,22,0.636363626
1,54,55,46,36,8,9,54,45,23,14,7,56,41,23,20,5,53,47,36,23,Men,Hard,14,0.571428597
0,59,56,41,23,20,5,53,47,36,23,6,55,46,36,8,9,54,45,23,14,Men,Hard,14,0.428571433
1,62,14,38,6,5,1,13,5,5,5,6,15,29,3,3,1,13,7,5,3,Men,Hard,1,1
0,71,15,29,3,3,1,13,7,5,3,4,14,38,6,5,1,13,5,5,5,Men,Hard,1,0
0,52,28,48,17,3,7,14,39,11,7,0,36,34,17,12,2,30,11,9,5,Men,Hard,6,0.166666672
1,66,36,34,17,12,2,30,11,9,5,6,28,48,17,3,7,14,39,11,7,Men,Hard,6,0.833333313
0,53,45,47,26,5,5,31,44,38,24,6,47,46,36,14,1,46,34,18,14,Men,Hard,18,0.333333343
1,54,47,46,36,14,1,46,34,18,14,7,45,47,26,5,5,31,44,38,24,Men,Hard,18,0.666666687
1,72,45,28,11,19,4,30,21,11,6,6,23,54,21,7,4,19,41,11,6,Men,Hard,12,0.583333313
0,46,23,54,21,7,4,19,41,11,6,2,45,28,11,19,4,30,21,11,6,Men,Hard,12,0.416666657
1,58,62,42,30,9,12,51,60,33,27,7,57,35,23,3,5,24,37,24,15,Men,Hard,31,0.612903237
0,65,57,35,23,3,5,24,37,24,15,5,62,42,30,9,12,51,60,33,27,Men,Hard,31,0.387096763
0,77,48,23,11,6,1,39,43,12,9,6,41,42,21,9,5,33,37,15,10,Men,Hard,16,0.5625
1,58,41,42,21,9,5,33,37,15,10,7,48,23,11,6,1,39,43,12,9,Men,Hard,16,0.4375
1,58,61,42,38,17,3,66,25,17,13,6,68,38,27,14,6,64,65,65,42,Men,Hard,24,0.583333313
0,62,68,38,27,14,6,64,65,65,42,3,61,42,38,17,3,66,25,17,13,Men,Hard,24,0.416666657
0,68,64,32,19,8,3,30,43,35,26,6,59,40,31,13,3,46,47,39,25,Men,Hard,16,0.25
1,60,59,40,31,13,3,46,47,39,25,3,64,32,19,8,3,30,43,35,26,Men,Hard,16,0.75
1,56,57,44,31,9,4,61,46,29,23,6,56,40,25,1,3,26,37,39,24,Men,Hard,24,0.458333343
0,60,56,40,25,1,3,26,37,39,24,3,57,44,31,9,4,61,46,29,23,Men,Hard,24,0.541666687
0,55,44,45,25,5,1,32,73,31,18,6,56,32,18,0,4,32,48,22,21,Men,Hard,27,0.481481493
1,68,56,32,18,0,4,32,48,22,21,7,44,45,25,5,1,32,73,31,18,Men,Hard,27,0.518518507
1,60,74,40,30,22,10,76,73,38,24,7,81,29,22,15,2,43,36,24,19,Men,Hard,26,0.5
0,71,81,29,22,15,2,43,36,24,19,5,74,40,30,22,10,76,73,38,24,Men,Hard,26,0.5
0,79,71,21,20,11,1,57,28,26,17,6,76,33,25,15,5,63,47,18,11,Men,Hard,22,0.5
1,67,76,33,25,15,5,63,47,18,11,4,71,21,20,11,1,57,28,26,17,Men,Hard,22,0.5
0,55,55,45,36,14,5,48,46,21,14,4,59,40,33,19,3,48,41,42,29,Men,Hard,18,0.555555582
1,60,59,40,33,19,3,48,41,42,29,6,55,45,36,14,5,48,46,21,14,Men,Hard,18,0.444444448
1,57,49,43,28,11,2,11,2,0,0,7,46,49,26,9,10,9,10,0,0,Men,Hard,30,0.533333361
0,51,46,49,26,9,10,9,10,0,0,6,49,43,28,11,2,11,2,0,0,Men,Hard,30,0.466666669
1,65,43,35,18,15,5,30,22,15,12,6,34,41,16,10,3,28,21,5,2,Men,Hard,7,0.714285731
0,59,34,41,16,10,3,28,21,5,2,4,43,35,18,15,5,30,22,15,12,Men,Hard,7,0.285714298
0,51,36,49,26,7,6,33,27,18,12,4,39,45,20,13,2,37,43,19,12,Men,Hard,12,0.583333313
1,55,39,45,20,13,2,37,43,19,12,6,36,49,26,7,6,33,27,18,12,Men,Hard,12,0.416666657
1,64,37,36,15,5,4,29,13,25,21,6,33,37,10,8,9,29,32,25,14,Men,Hard,8,0.625
0,63,33,37,10,8,9,29,32,25,14,4,37,36,15,5,4,29,13,25,21,Men,Hard,8,0.375
0,62,32,38,18,6,3,14,21,13,4,2,45,24,9,11,0,52,35,29,23,Men,Hard,13,0.461538464
1,76,45,24,9,11,0,52,35,29,23,6,32,38,18,6,3,14,21,13,4,Men,Hard,13,0.538461566
0,60,67,40,34,12,18,56,71,26,15,6,62,32,26,2,4,24,51,10,6,Men,Hard,27,0.666666687
1,68,62,32,26,2,4,24,51,10,6,7,67,40,34,12,18,56,71,26,15,Men,Hard,27,0.333333343
0,50,50,50,32,15,7,15,7,0,0,6,65,51,41,7,8,7,8,0,0,Men,Hard,27,0.333333343
1,49,65,51,41,7,8,7,8,0,0,4,50,50,32,15,7,15,7,0,0,Men,Hard,27,0.666666687
1,64,51,36,18,14,6,47,28,24,16,7,31,55,34,9,5,19,29,18,13,Men,Hard,13,0.461538464
0,45,31,55,34,9,5,19,29,18,13,6,51,36,18,14,6,47,28,24,16,Men,Hard,13,0.538461566
0,63,66,37,24,12,8,12,8,0,0,4,49,42,34,16,5,16,5,0,0,Men,Hard,18,0.666666687
1,58,49,42,34,16,5,16,5,0,0,6,66,37,24,12,8,12,8,0,0,Men,Hard,18,0.333333343
1,58,56,42,30,13,8,43,28,15,13,7,50,42,24,12,6,46,63,36,22,Men,Hard,24,0.458333343
0,58,50,42,24,12,6,46,63,36,22,6,56,42,30,13,8,43,28,15,13,Men,Hard,24,0.541666687
0,68,47,32,17,6,3,29,25,61,37,4,45,38,23,8,3,43,24,21,17,Men,Hard,15,0.600000024
1,62,45,38,23,8,3,43,24,21,17,6,47,32,17,6,3,29,25,61,37,Men,Hard,15,0.400000006
1,59,35,41,17,5,5,25,31,7,7,6,25,45,20,2,7,22,55,20,12,Men,Hard,21,0.428571433
0,55,25,45,20,2,7,22,55,20,12,2,35,41,17,5,5,25,31,7,7,Men,Hard,21,0.571428597
1,69,88,31,23,12,6,72,59,28,20,4,76,28,21,28,2,53,41,25,13,Men,Hard,25,0.720000029
0,72,76,28,21,28,2,53,41,25,13,6,88,31,23,12,6,72,59,28,20,Men,Hard,25,0.280000001
1,50,68,50,47,32,5,78,45,32,28,6,86,34,27,24,11,59,74,35,21,Men,Hard,34,0.441176474
0,66,86,34,27,24,11,59,74,35,21,7,68,50,47,32,5,78,45,32,28,Men,Hard,34,0.558823526
0,70,47,30,19,2,2,23,46,18,13,3,49,41,18,15,7,36,35,9,5,Men,Hard,25,0.720000029
1,59,49,41,18,15,7,36,35,9,5,6,47,30,19,2,2,23,46,18,13,Men,Hard,25,0.280000001
1,64,57,36,23,27,2,63,36,25,17,7,55,33,22,6,1,23,23,10,7,Men,Hard,11,0.636363626
0,67,55,33,22,6,1,23,23,10,7,6,57,36,23,27,2,63,36,25,17,Men,Hard,11,0.363636374
0,70,37,30,8,7,3,17,49,7,4,1,43,36,15,5,3,30,27,14,10,Men,Hard,17,0.411764711
1,64,43,36,15,5,3,30,27,14,10,6,37,30,8,7,3,17,49,7,4,Men,Hard,17,0.588235319
0,57,57,43,33,12,10,47,65,15,9,4,71,39,29,6,15,47,78,48,31,Men,Hard,33,0.454545468
1,61,71,39,29,6,15,47,78,48,31,6,57,43,33,12,10,47,65,15,9,Men,Hard,33,0.545454562
0,58,48,42,23,5,9,34,37,29,16,6,47,38,23,13,3,39,30,26,20,Men,Hard,12,0.666666687
1,62,47,38,23,13,3,39,30,26,20,7,48,42,23,5,9,34,37,29,16,Men,Hard,12,0.333333343
1,74,45,26,11,7,1,39,19,14,11,6,33,33,10,4,3,21,24,10,8,Men,Hard,13,0.615384638
0,67,33,33,10,4,3,21,24,10,8,2,45,26,11,7,1,39,19,14,11,Men,Hard,13,0.384615391
0,65,41,35,10,5,1,14,26,9,3,3,38,37,20,6,1,31,23,21,16,Men,Hard,9,0.444444448
1,63,38,37,20,6,1,31,23,21,16,6,41,35,10,5,1,14,26,9,3,Men,Hard,9,0.555555582
1,60,41,40,26,9,3,43,26,11,7,7,43,37,19,10,1,27,41,23,11,Men,Hard,14,0.5
0,63,43,37,19,10,1,27,41,23,11,5,41,40,26,9,3,43,26,11,7,Men,Hard,14,0.5
1,65,70,35,21,16,3,51,38,25,18,2,61,38,28,4,5,62,34,57,44,Men,Hard,16,0.5625
0,62,61,38,28,4,5,62,34,57,44,6,70,35,21,16,3,51,38,25,18,Men,Hard,16,0.4375
0,58,44,42,17,8,8,30,51,27,17,2,44,28,17,2,1,22,24,12,10,Men,Hard,14,0.5
1,72,44,28,17,2,1,22,24,12,10,6,44,42,17,8,8,30,51,27,17,Men,Hard,14,0.5
1,68,42,32,15,17,0,38,7,13,12,7,34,47,18,3,7,34,44,15,11,Men,Hard,12,0.5
0,53,34,47,18,3,7,34,44,15,11,5,42,32,15,17,0,38,7,13,12,Men,Hard,12,0.5
1,67,77,33,26,27,6,82,69,30,22,3,94,26,20,8,4,43,34,29,17,Men,Hard,19,0.368421048
0,74,94,26,20,8,4,43,34,29,17,6,77,33,26,27,6,82,69,30,22,Men,Hard,19,0.631578922
1,57,37,43,19,13,1,32,26,18,13,6,25,56,17,5,6,21,34,9,5,Men,Hard,11,0.636363626
0,44,25,56,17,5,6,21,34,9,5,4,37,43,19,13,1,32,26,18,13,Men,Hard,11,0.363636374
0,69,38,31,10,3,5,27,33,19,7,2,39,38,16,6,1,35,18,20,11,Men,Hard,19,0.473684222
1,62,39,38,16,6,1,35,18,20,11,6,38,31,10,3,5,27,33,19,7,Men,Hard,19,0.526315808
1,66,49,34,20,17,0,40,29,27,20,7,34,47,22,7,3,21,25,28,23,Men,Hard,9,0.666666687
0,53,34,47,22,7,3,21,25,28,23,6,49,34,20,17,0,40,29,27,20,Men,Hard,9,0.333333343
1,72,54,28,11,7,5,35,23,17,14,6,32,47,21,6,4,36,38,29,18,Men,Hard,13,0.538461566
0,53,32,47,21,6,4,36,38,29,18,0,54,28,11,7,5,35,23,17,14,Men,Hard,13,0.461538464
1,64,50,36,16,6,2,29,30,18,11,7,39,43,20,8,7,31,44,37,26,Men,Hard,12,0.333333343
0,57,39,43,20,8,7,31,44,37,26,6,50,36,16,6,2,29,30,18,11,Men,Hard,12,0.666666687
0,58,30,42,10,13,3,31,59,22,11,2,46,17,7,4,1,21,23,14,11,Men,Hard,27,0.555555582
1,83,46,17,7,4,1,21,23,14,11,6,30,42,10,13,3,31,59,22,11,Men,Hard,27,0.444444448
0,59,55,41,30,21,5,50,39,53,22,3,55,40,33,15,5,49,13,15,12,Men,Hard,7,0.428571433
1,60,55,40,33,15,5,49,13,15,12,6,55,41,30,21,5,50,39,53,22,Men,Hard,7,0.571428597
0,64,23,36,7,1,5,17,32,30,15,5,29,46,21,3,1,30,27,7,3,Men,Hard,16,0.3125
1,54,29,46,21,3,1,30,27,7,3,7,23,36,7,1,5,17,32,30,15,Men,Hard,16,0.6875
1,67,38,33,20,2,0,21,18,13,9,6,39,31,10,10,5,33,57,9,4,Men,Hard,18,0.666666687
0,69,39,31,10,10,5,33,57,9,4,1,38,33,20,2,0,21,18,13,9,Men,Hard,18,0.333333343
0,59,32,41,13,3,7,20,44,16,11,3,38,28,12,7,2,33,21,16,12,Men,Hard,22,0.727272749
1,72,38,28,12,7,2,33,21,16,12,6,32,41,13,3,7,20,44,16,11,Men,Hard,22,0.272727281
1,56,54,44,24,14,3,57,37,25,17,6,53,29,14,1,0,24,22,16,13,Men,Hard,9,0.555555582
0,71,53,29,14,1,0,24,22,16,13,3,54,44,24,14,3,57,37,25,17,Men,Hard,9,0.444444448
0,61,52,39,27,4,3,33,49,56,29,7,55,37,24,3,1,64,43,27,19,Men,Hard,30,0.433333337
1,63,55,37,24,3,1,64,43,27,19,6,52,39,27,4,3,33,49,56,29,Men,Hard,30,0.566666663
1,52,33,48,21,4,3,38,17,18,15,6,40,28,9,16,1,31,30,19,6,Men,Hard,17,0.294117659
0,72,40,28,9,16,1,31,30,19,6,2,33,48,21,4,3,38,17,18,15,Men,Hard,17,0.70588237
0,52,32,48,23,8,1,29,28,25,11,3,42,43,25,7,1,43,21,41,34,Men,Hard,8,0.5
1,57,42,43,25,7,1,43,21,41,34,6,32,48,23,8,1,29,28,25,11,Men,Hard,8,0.5
1,62,59,38,25,8,3,48,47,24,16,6,39,49,22,3,8,33,56,31,20,Men,Hard,20,0.600000024
0,51,39,49,22,3,8,33,56,31,20,1,59,38,25,8,3,48,47,24,16,Men,Hard,20,0.400000006
1,60,57,40,21,11,3,38,34,35,23,6,44,36,22,5,1,27,45,23,13,Men,Hard,10,0.800000012
0,64,44,36,22,5,1,27,45,23,13,3,57,40,21,11,3,38,34,35,23,Men,Hard,10,0.200000003
1,71,67,29,14,12,1,36,28,19,10,7,51,34,16,2,1,36,51,25,20,Men,Hard,18,0.611111104
0,66,51,34,16,2,1,36,51,25,20,6,67,29,14,12,1,36,28,19,10,Men,Hard,18,0.388888896
1,58,71,42,36,17,5,51,60,30,20,2,75,27,23,7,1,45,60,35,26,Men,Hard,17,0.470588237
0,73,75,27,23,7,1,45,60,35,26,6,71,42,36,17,5,51,60,30,20,Men,Hard,17,0.529411793
1,52,52,48,27,10,4,43,62,28,18,6,46,39,23,2,1,30,46,13,12,Men,Hard,25,0.560000002
0,61,46,39,23,2,1,30,46,13,12,1,52,48,27,10,4,43,62,28,18,Men,Hard,25,0.439999998
